name,ROE_avg,asset_liability_avg
士兰微,11.131999999999998,51.172
安凯微,7.8825,29.207500000000003
晶合集成,-6.947999999999999,59.012
紫光国微,20.084000000000003,35.257999999999996
中颖电子,23.142000000000003,19.738000000000003
北方华创,9.649999999999999,55.028
中芯国际,6.62,34.068
明微电子,24.401999999999997,16.464
兆易创新,16.734,15.806000000000001
华岭股份,14.741999999999999,20.528
芯朋微,15.053999999999998,13.968
杰华特,18.53,61.705999999999996
富创精密,6.69,43.32600000000001
慧智微-U,-48.9725,35.515
华微电子,2.738,50.518
盈方微,-100.248,86.39000000000001
捷捷微电,13.312000000000001,22.614000000000004
上海贝岭,12.128,12.908000000000001
力芯微,17.474,19.23
恒玄科技,13.14,16.642000000000003
天岳先进,-26.689999999999998,41.648
长电科技,6.438,53.208000000000006
翱捷科技-U,-71.08,30.317999999999994
中芯集成-U,-31.5075,58.269999999999996
台基股份,-1.4920000000000002,13.940000000000001
苏州固锝,8.314,18.036
有研硅,17.514,23.302
华峰测控,23.796,10.768
博通集成,10.592,14.594
南芯科技,11.927499999999998,24.1025
赛微电子,4.326,25.898000000000003
振华风光,30.484,50.07
晶晨股份,16.554,21.321999999999996
芯导科技,41.974000000000004,28.012
中船特气,21.502499999999998,33.045
力合微,10.070000000000002,24.224
康强电子,11.32,46.322
国民技术,-13.777999999999997,50.088
英集芯,23.208000000000002,16.796
清溢光电,8.488,20.652
宏微科技,9.782,44.312
华天科技,7.8,40.964000000000006
中科蓝讯,56.784000000000006,31.858000000000004
中科飞测-U,-37.982,42.517999999999994
扬杰科技,13.351999999999999,28.383999999999997
炬芯科技,13.272,17.589999999999996
芯源微,11.229999999999999,37.96
银河微电,11.648000000000001,27.909999999999997
燕东微,2.8925,22.14
通富微电,4.279999999999999,56.9
新洁能,24.154,20.375999999999998
睿能科技,5.872,33.42999999999999
汇成股份,-22.93,48.748000000000005
德明利,24.696,47.586
晶丰明源,18.186,29.177999999999997
聚辰股份,17.854000000000003,8.870000000000001
帝奥微,12.876,8.27
中晶科技,17.732,25.792
颀中科技,6.2375,32.660000000000004
炬光科技,1.6500000000000004,19.0
电科芯片,22.628000000000004,31.766
润欣科技,5.1899999999999995,33.339999999999996
江丰电子,11.452000000000002,47.076
龙迅股份,28.336000000000002,16.401999999999997
沪硅产业,0.7099999999999999,37.652
航宇微,-3.968,22.568
广立微,12.894,26.304000000000002
格科微,37.906,57.852
卓胜微,36.42999999999999,11.38
易天股份,16.978,44.212
晶华微,48.28,26.454
朗科科技,6.5699999999999985,9.098
富乐德,15.646,29.317999999999994
气派科技,7.640000000000001,45.58200000000001
天德钰,23.761999999999997,33.940000000000005
敏芯股份,16.676,11.107999999999999
利扬芯片,8.732000000000001,19.466
必易微,37.766,29.410000000000004
晓程科技,-3.4240000000000004,15.526
神工股份,20.26,7.425999999999999
和林微纳,26.951999999999998,24.19
希荻微,-22.976000000000003,25.483999999999998
长光华芯,-5.7700000000000005,36.464
北京君正,5.1160000000000005,7.392
国芯科技,7.07,11.690000000000001
新相微,19.262500000000003,45.69
联动科技,24.078000000000003,22.316
冠石科技,23.748,40.32
峰岹科技,37.07000000000001,21.294
长川科技,11.344,31.229999999999997
裕太微-U,-35.495,42.4575
东芯股份,1.0219999999999996,18.886000000000003
晶方科技,9.778,12.982
拓荆科技,0.25000000000000033,37.856
恒烁股份,9.092000000000002,26.28
华海诚科,16.686,50.826
东微半导,13.809999999999999,6.338
芯原股份,-7.138,40.57
大港股份,-4.42,36.022000000000006
派瑞股份,9.463999999999999,16.426
复旦微电,10.788,18.862000000000002
江波龙,7.458000000000001,26.994
阿石创,3.2880000000000003,40.089999999999996
甬矽电子,0.18000000000000044,73.26599999999999
源杰科技,14.663999999999998,13.463999999999999
佰维存储,-5.7459999999999996,46.024
雷电微力,14.724,36.664
灿瑞科技,15.659999999999997,27.18
金海通,27.8,29.728
再升科技,13.450000000000003,35.456
福莱特,18.8,47.614
力诺特玻,16.64,24.089999999999996
金刚光伏,-48.444,65.736
凯盛新能,10.1,64.14399999999999
中材科技,17.268,56.134
耀皮Ｂ股,3.664,42.288
凯德石英,13.930000000000001,12.680000000000001
山东玻纤,17.012,58.54200000000001
海南发展,6.537999999999999,79.88199999999999
南 玻Ａ,9.945999999999998,45.17
北玻股份,2.22,25.334
金晶科技,8.922,53.398
正威新材,3.272,59.30800000000001
福耀玻璃,15.518,42.884
旗滨集团,20.53,38.808
信濠光电,32.465999999999994,47.157999999999994
宏和科技,9.002,30.932000000000006
中国巨石,20.732,48.264
长海股份,14.12,21.36
南 玻Ｂ,9.945999999999998,45.17
耀皮玻璃,3.664,42.288
