name,industry,market_value,ROE_avg,asset_liability_avg,shareholder_capacity,management_capacity
苏州固锝,半导体,102.04,8.314,18.036,0.4,5.6000000000000005
有研硅,半导体,185.77,17.514,23.302,5.2,8.2
华峰测控,半导体,206.65,23.796,10.768,5.8,6.6
博通集成,半导体,43.04,10.592,14.594,5.8,6.6000000000000005
南芯科技,半导体,167.42,11.927499999999998,24.1025,5.2,6.4
赛微电子,半导体,158.29,4.326,25.898000000000003,1.4,6.800000000000001
振华风光,半导体,193.9,30.484,50.07,6.4,7.6
晶晨股份,半导体,364.9,16.554,21.322,0.4,4.2
芯导科技,半导体,50.56,41.974,28.012,4.6,5.6000000000000005
中船特气,半导体,207.64,21.5025,33.045,6.800000000000001,9.0
力合微,半导体,40.9,10.070000000000002,24.224,4.0,8.600000000000001
康强电子,半导体,50.93,11.32,46.322,4.6,9.2
国民技术,半导体,80.48,-13.777999999999995,50.088,7.0,7.0
英集芯,半导体,69.8,23.208,16.796,5.8,5.0
清溢光电,半导体,52.51,8.488,20.652,5.8,8.4
宏微科技,半导体,86.15,9.782,44.312,0.4,8.2
华天科技,半导体,304.43,7.8,40.964000000000006,7.0,8.2
中科蓝讯,半导体,84.79,56.784000000000006,31.858000000000004,5.2,4.6
中科飞测-U,半导体,244.16,-37.982,42.518,5.8,5.8
扬杰科技,半导体,232.34,13.352,28.384,8.8,8.8
炬芯科技,半导体,38.63,13.272,17.589999999999996,4.0,6.4
芯源微,半导体,210.63,11.23,37.96,1.2000000000000002,10.0
银河微电,半导体,32.69,11.648,27.91,5.2,6.4
燕东微,半导体,262.6,2.8925,22.14,8.600000000000001,11.8
通富微电,半导体,334.88,4.279999999999999,56.9,1.4,8.4
新洁能,半导体,123.78,24.154,20.376,0.4,8.2
睿能科技,半导体,35.41,5.872,33.42999999999999,0.4,6.000000000000001
汇成股份,半导体,89.16,-22.93,48.748000000000005,4.6,8.2
德明利,半导体,81.2,24.696,47.586,4.6,5.4
晶丰明源,半导体,80.3,18.186,29.178,1.2000000000000002,6.000000000000001
聚辰股份,半导体,87.65,17.854000000000003,8.870000000000001,1.2000000000000002,5.6000000000000005
帝奥微,半导体,75.61,12.876,8.27,5.8,4.6
中晶科技,半导体,38.74,17.732,25.792,4.6,6.6000000000000005
颀中科技,半导体,156.48,6.2375,32.660000000000004,5.8,9.4
炬光科技,半导体,89.01,1.6500000000000004,19.0,0.8,7.2
电科芯片,半导体,164.6,22.628000000000004,31.766,5.8,6.800000000000001
润欣科技,半导体,41.88,5.19,33.34,4.6,5.0
江丰电子,半导体,170.68,11.452000000000002,47.076,4.6,7.0
龙迅股份,半导体,63.98,28.336,16.401999999999997,4.6,6.4
沪硅产业,半导体,567.64,0.7099999999999999,37.652,2.4000000000000004,10.0
航宇微,半导体,82.23,-3.968,22.568,1.4,7.6
广立微,半导体,145.04,12.894,26.304,4.0,6.800000000000001
卓胜微,半导体,660.63,36.42999999999999,11.38,3.0000000000000004,6.4
易天股份,半导体,30.56,16.978,44.212,4.6,7.6
晶华微,半导体,28.29,48.28,26.454,4.6,7.2
朗科科技,半导体,72.28,6.569999999999999,9.098,0.8,2.4000000000000004
富乐德,半导体,68.22,15.646,29.317999999999994,4.0,5.4
气派科技,半导体,25.66,7.640000000000001,45.58200000000001,4.6,6.4
天德钰,半导体,75.3,23.762,33.940000000000005,4.6,6.2
敏芯股份,半导体,28.68,16.676,11.108,6.4,6.800000000000001
利扬芯片,半导体,40.93,8.732000000000001,19.466,0.4,4.800000000000001
必易微,半导体,34.61,37.766,29.410000000000004,3.0000000000000004,5.2
晓程科技,半导体,26.93,-3.4240000000000004,15.526,4.0,5.4
神工股份,半导体,52.16,20.26,7.425999999999999,0.8,6.6000000000000005
和林微纳,半导体,51.5,26.952,24.19,5.2,5.0
希荻微,半导体,83.18,-22.976000000000003,25.484,2.0,6.000000000000001
长光华芯,半导体,126.25,-5.7700000000000005,36.464,5.8,9.2
北京君正,半导体,392.72,5.1160000000000005,7.392,2.8,8.8
国芯科技,半导体,118.17,7.07,11.69,1.8000000000000005,7.6
新相微,半导体,75.87,19.262500000000003,45.69,4.6,9.4
联动科技,半导体,50.66,24.078000000000003,22.316,5.2,6.000000000000001
冠石科技,半导体,29.05,23.748,40.32,6.4,4.2
峰岹科技,半导体,98.83,37.07000000000001,21.294,1.4,5.8
长川科技,半导体,254.9,11.344,31.23,7.0,8.0
裕太微-U,半导体,114.48,-35.495,42.4575,5.2,6.4
东芯股份,半导体,145.94,1.0219999999999996,18.886000000000003,5.2,7.2
晶方科技,半导体,143.9,9.778,12.982,7.6,8.4
拓荆科技,半导体,431.93,0.2500000000000003,37.856,2.4000000000000004,13.2
恒烁股份,半导体,50.33,9.092000000000002,26.28,4.6,6.4
华海诚科,半导体,70.5,16.686,50.826,5.2,5.8
东微半导,半导体,122.52,13.81,6.338,2.8,7.0
芯原股份,半导体,343.16,-7.138,40.57,6.4,8.2
大港股份,半导体,90.82,-4.42,36.022000000000006,4.0,7.2
派瑞股份,半导体,39.36,9.464,16.426,5.8,7.8
复旦微电,半导体,440.83,10.788,18.862,2.2,11.2
江波龙,半导体,367.57,7.458000000000001,26.994,5.8,7.8
阿石创,半导体,39.51,3.2880000000000003,40.09,4.6,4.6
甬矽电子,半导体,130.94,0.1800000000000004,73.26599999999999,5.0,8.600000000000001
源杰科技,半导体,161.07,14.663999999999998,13.464,4.6,6.6
佰维存储,半导体,291.16,-5.746,46.024,5.8,8.8
雷电微力,半导体,104.02,14.724,36.664,4.6,6.6000000000000005
灿瑞科技,半导体,50.57,15.659999999999997,27.18,4.6,5.0
金海通,半导体,61.67,27.8,29.728,5.2,7.8
再升科技,玻璃玻纤,48.22,13.450000000000005,35.456,5.8,9.0
福莱特,玻璃玻纤,811.68,18.8,47.614,6.4,7.8
力诺特玻,玻璃玻纤,32.89,16.64,24.09,1.6,7.6
金刚光伏,玻璃玻纤,49.25,-48.444,65.736,0.4,4.0
凯盛新能,玻璃玻纤,107.44,10.1,64.14399999999999,2.8,9.2
中材科技,玻璃玻纤,384.63,17.268,56.134,8.8,10.8
凯德石英,玻璃玻纤,16.36,13.93,12.68,4.0,6.800000000000001
山东玻纤,玻璃玻纤,48.3,17.012,58.54200000000001,4.6,7.4
海南发展,玻璃玻纤,88.97,6.537999999999999,79.88199999999999,7.6,7.6
南 玻Ａ,玻璃玻纤,189.46,9.945999999999998,45.17,7.6,6.0
北玻股份,玻璃玻纤,45.17,2.22,25.334,4.6,4.6
金晶科技,玻璃玻纤,113.02,8.922,53.398,7.0,7.4
正威新材,玻璃玻纤,65.29,3.272,59.30800000000001,4.6,7.4
福耀玻璃,玻璃玻纤,981.0,15.518,42.884,6.4,8.0
旗滨集团,玻璃玻纤,244.47,20.53,38.808,7.0,7.2
信濠光电,玻璃玻纤,72.29,32.465999999999994,47.158,4.0,6.4
宏和科技,玻璃玻纤,71.22,9.002,30.93200000000001,4.6,5.8
中国巨石,玻璃玻纤,592.46,20.732,48.264,9.4,10.0
长海股份,玻璃玻纤,58.12,14.12,21.36,7.0,8.2
耀皮玻璃,玻璃玻纤,48.62,3.664,42.288,6.4,3.6
山东华鹏,玻璃玻纤,17.73,-16.502,63.342,4.6,10.0
海兰信,船舶制造,79.33,-5.153999999999999,28.746,5.8,5.4
中国重工,船舶制造,1083.1,-0.316,53.120000000000005,8.2,9.6
中船科技,船舶制造,171.47,2.776,51.44200000000001,6.4,10.0
亚星锚链,船舶制造,99.49,2.8,22.44,7.0,2.4000000000000004
