name,industry,market_value,ROE_avg,asset_liability_avg,shareholder_capacity,management_capacity,topsis_score,topsis_score_percentage,rank
贝肯能源,采掘行业,17.65,-5.12,60.4,4.0,5.6,48.17,53.85,14
龙高股份,采掘行业,26.84,14.17,14.54,4.6,6.4,58.33,67.4,9
准油股份,采掘行业,18.5,-16.7,72.81,4.6,8.0,41.33,44.72,17
潜能恒信,采掘行业,60.38,2.33,24.59,0.8,7.2,54.28,62.0,10
中海油服,采掘行业,722.42,4.27,50.06,9.4,8.2,82.76,100.0,1
中曼石油,采掘行业,84.08,1.17,59.57,0.8,6.2,53.16,60.51,12
通源石油,采掘行业,28.54,-12.04,39.19,4.6,6.8,45.63,50.46,16
金诚信,采掘行业,198.04,8.66,38.5,6.4,8.8,62.8,73.37,6
海油发展,采掘行业,316.13,8.23,41.68,8.8,6.8,68.21,80.59,3
恒泰艾普,采掘行业,24.28,-67.28,62.68,4.0,5.6,7.81,0.0,19
仁智股份,采掘行业,17.99,-38.56,90.47,6.2,5.0,25.15,23.15,18
重庆钢铁,钢铁行业,158.75,4.87,40.57,5.8,8.2,22.58,27.58,37
马钢股份,钢铁行业,230.76,9.72,61.37,8.8,2.4,23.48,29.09,30
友发集团,钢铁行业,109.28,15.92,51.93,5.2,7.2,24.52,30.82,21
山东钢铁,钢铁行业,171.18,5.08,56.0,0.8,8.8,22.03,26.66,41
三钢闽光,钢铁行业,123.31,19.93,46.6,5.2,10.2,26.67,34.42,14
*ST西钢,钢铁行业,30.83,-54.43,86.05,4.0,7.6,6.08,0.0,48
八一钢铁,钢铁行业,70.7,1.96,83.16,7.0,7.0,19.58,22.56,46
宝钢股份,钢铁行业,1455.95,9.1,44.46,8.2,12.2,46.76,68.01,2
酒钢宏兴,钢铁行业,110.86,3.51,70.61,5.8,6.8,20.34,23.84,44
包钢股份,钢铁行业,871.77,2.43,59.04,7.6,11.4,35.02,48.38,4
杭钢股份,钢铁行业,160.08,6.37,28.26,6.4,8.6,23.77,29.58,27
永兴材料,钢铁行业,291.17,24.64,21.41,0.8,8.0,30.16,40.26,8
抚顺特钢,钢铁行业,203.52,200.16,46.38,8.8,6.8,65.89,100.0,1
海南矿业,钢铁行业,145.68,4.73,38.76,7.0,11.2,23.53,29.16,29
南钢股份,钢铁行业,226.88,16.82,52.62,8.2,14.0,28.13,36.86,10
太钢不锈,钢铁行业,249.9,9.56,51.58,9.4,5.2,24.33,30.52,22
常宝股份,钢铁行业,64.88,8.64,32.49,0.4,6.0,22.48,27.42,39
河钢资源,钢铁行业,98.89,9.58,26.29,6.4,3.4,23.34,28.85,32
柳钢股份,钢铁行业,120.2,14.13,60.59,7.6,7.6,24.14,30.19,23
新钢股份,钢铁行业,142.54,17.27,51.91,8.2,5.6,25.21,31.98,19
凌钢股份,钢铁行业,72.16,6.13,50.29,5.2,6.0,21.22,25.31,42
沙钢股份,钢铁行业,95.77,16.11,37.51,5.8,8.2,25.26,32.07,18
钒钛股份,钢铁行业,381.1,22.66,24.14,6.4,5.6,30.67,41.11,7
广大特材,钢铁行业,56.65,11.1,59.71,5.2,4.6,22.03,26.67,40
东方铁塔,钢铁行业,94.3,5.88,33.84,6.4,9.2,22.93,28.17,36
金岭矿业,钢铁行业,41.91,6.32,11.32,6.4,7.0,23.47,29.07,31
大中矿业,钢铁行业,172.37,25.48,62.17,4.0,6.6,27.44,35.71,11
广东明珠,钢铁行业,39.05,10.96,17.53,4.0,5.8,23.89,29.78,26
河钢股份,钢铁行业,253.26,4.1,73.73,6.4,8.4,22.55,27.53,38
鄂尔多斯,钢铁行业,272.88,19.24,58.56,6.4,5.6,26.92,34.84,13
中信特钢,钢铁行业,835.3,22.73,63.14,6.4,8.4,38.21,53.71,3
本钢板材,钢铁行业,177.47,3.32,63.04,5.8,4.4,20.73,24.48,43
甬金股份,钢铁行业,95.73,18.15,47.11,7.0,6.8,25.29,32.11,17
首钢股份,钢铁行业,317.49,8.44,70.21,8.2,10.4,25.5,32.47,16
中南股份,钢铁行业,76.35,24.08,52.69,6.4,9.0,27.04,35.05,12
鞍钢股份,钢铁行业,295.14,6.94,39.6,7.0,6.4,24.62,31.0,20
华菱钢铁,钢铁行业,412.45,25.1,57.04,8.8,6.8,31.1,41.84,5
新兴铸管,钢铁行业,170.38,8.37,53.79,8.2,8.8,23.56,29.22,28
武进不锈,钢铁行业,47.3,9.68,28.35,5.2,6.6,23.21,28.63,34
方大特钢,钢铁行业,119.82,30.9,41.79,7.0,13.6,30.85,41.41,6
久立特材,钢铁行业,171.1,17.15,34.4,0.4,8.2,26.13,33.51,15
安阳钢铁,钢铁行业,67.79,1.35,75.08,4.6,2.8,18.57,20.88,47
安宁股份,钢铁行业,134.34,25.59,19.88,4.6,6.6,28.63,37.69,9
盛德鑫泰,钢铁行业,40.48,13.91,50.8,6.4,5.2,23.23,28.68,33
宝地矿业,钢铁行业,62.8,8.44,39.62,4.0,10.0,23.16,28.56,35
