name,industry,market_value,ROE_avg,asset_liability_avg,shareholder_capacity,management_capacity,topsis_score,topsis_score_percentage,rank
花园生物,化学制药,68.05,16.95,22.75,5.8,7.2,41.62,43.87,40
海森药业,化学制药,32.27,27.86,22.9,5.8,7.4,43.28,46.04,14
健友股份,化学制药,221.0,22.04,38.77,7.6,4.6,43.75,46.65,10
博腾股份,化学制药,167.5,15.33,30.71,1.6,11.2,42.3,44.76,27
威尔药业,化学制药,39.94,10.62,22.97,2.4,6.2,40.04,41.81,79
哈三联,化学制药,42.04,8.21,29.7,4.6,5.0,39.45,41.03,93
振东制药,化学制药,61.44,8.39,22.67,6.4,6.8,39.89,41.61,82
海翔药业,化学制药,129.17,6.85,21.61,4.6,4.8,40.08,41.86,76
金石亚药,化学制药,50.3,-1.09,18.83,5.2,7.6,37.93,39.05,116
翰宇药业,化学制药,90.62,-19.39,54.6,1.2,6.2,33.29,33.0,135
仙琚制药,化学制药,124.54,13.96,35.08,8.2,9.2,41.54,43.77,45
莱美药业,化学制药,38.44,-7.25,42.33,4.0,8.2,36.07,36.63,127
亨迪药业,化学制药,69.38,19.46,19.66,5.2,8.8,42.22,44.66,28
药石科技,化学制药,103.23,20.54,28.3,5.8,6.2,42.48,45.0,24
天宇股份,化学制药,81.91,15.31,36.46,7.0,5.8,41.18,43.3,53
海正药业,化学制药,135.64,2.84,61.72,1.4,8.2,38.8,40.2,103
悦康药业,化学制药,81.67,23.41,48.42,5.8,8.8,42.67,45.24,20
森萱医药,化学制药,31.93,16.12,18.76,5.2,7.2,41.19,43.31,52
康芝药业,化学制药,28.08,-2.59,33.49,0.4,5.8,36.99,37.83,124
哈药股份,化学制药,84.45,0.72,58.95,7.0,10.4,38.17,39.37,113
诚意药业,化学制药,38.82,17.73,25.32,5.2,6.6,41.42,43.61,46
江苏吴中,化学制药,55.13,-7.03,48.2,6.4,6.8,36.14,36.72,126
富祥药业,化学制药,74.09,11.39,39.64,0.4,7.4,40.26,42.1,71
莎普爱思,化学制药,33.0,-2.89,13.08,1.6,6.4,37.4,38.36,121
奥翔药业,化学制药,86.88,11.8,27.96,4.6,8.0,40.73,42.71,64
北陆药业,化学制药,33.5,11.62,22.1,0.8,7.8,40.25,42.09,72
广生堂,化学制药,42.67,-1.88,35.12,2.2,6.2,37.27,38.19,122
西点药业,化学制药,23.73,9.87,13.45,2.4,7.2,39.97,41.71,80
健康元,化学制药,240.69,10.39,34.32,8.2,8.2,41.97,44.33,32
复星医药,化学制药,844.94,10.81,48.72,8.8,19.0,51.03,56.16,2
普洛药业,化学制药,211.07,17.38,44.72,8.2,10.0,42.99,45.66,16
共同药业,化学制药,26.34,12.54,38.37,4.6,5.6,40.07,41.85,78
一品红,化学制药,112.04,14.84,35.14,4.6,5.6,41.33,43.49,48
华海药业,化学制药,280.19,10.81,53.46,8.2,7.6,42.17,44.59,29
北大医药,化学制药,41.66,3.66,46.44,0.8,7.6,38.32,39.56,111
山河药辅,化学制药,35.31,16.53,26.98,8.2,8.2,41.28,43.43,49
信立泰,化学制药,347.27,10.25,15.45,7.6,7.4,43.4,46.2,13
司太立,化学制药,52.64,11.75,63.88,1.4,6.0,39.77,41.46,85
罗欣药业,化学制药,61.88,3.87,49.27,0.8,8.2,38.52,39.83,108
华仁药业,化学制药,49.06,4.22,36.73,4.6,10.4,38.87,40.28,101
仟源医药,化学制药,18.82,-13.82,48.54,4.6,5.6,34.2,34.19,131
德展健康,化学制药,68.46,5.59,7.07,1.2,8.8,39.69,41.36,88
千红制药,化学制药,67.57,7.32,17.05,4.6,7.0,39.8,41.5,84
东北制药,化学制药,76.74,4.34,67.51,7.0,10.4,38.77,40.15,104
键凯科技,化学制药,64.59,21.81,11.07,4.6,6.0,42.59,45.14,21
赛隆药业,化学制药,20.33,-1.62,27.07,1.2,5.6,37.25,38.17,123
奥赛康,化学制药,77.04,21.96,23.01,1.6,7.0,42.55,45.09,22
富士莱,化学制药,36.79,20.88,20.52,4.0,5.2,41.98,44.34,31
多瑞医药,化学制药,20.44,59.38,35.18,6.4,6.6,47.82,51.96,4
长江健康,化学制药,60.69,-0.58,32.79,2.0,6.6,37.76,38.83,118
纳微科技,化学制药,151.43,16.68,19.61,1.6,8.8,42.43,44.93,26
华北制药,化学制药,100.2,-0.78,70.37,8.2,12.8,38.05,39.22,114
普利制药,化学制药,88.45,21.98,37.09,7.6,6.0,42.51,45.04,23
尔康制药,化学制药,68.89,-0.81,9.79,5.2,6.2,38.26,39.48,112
新 和 成,化学制药,510.62,18.12,35.8,7.0,10.4,46.88,50.75,6
力生制药,化学制药,45.35,3.01,16.28,4.6,6.8,38.74,40.11,105
同和药业,化学制药,48.54,7.8,37.59,5.8,6.0,39.36,40.93,94
复旦张江,化学制药,99.82,12.79,28.13,5.8,7.8,41.06,43.14,59
鲁抗医药,化学制药,59.65,4.86,55.66,6.4,10.2,38.84,40.25,102
南新制药,化学制药,27.03,10.41,41.78,5.2,6.0,39.63,41.28,89
易瑞生物,化学制药,51.75,23.8,19.66,4.0,6.8,42.72,45.32,19
福安药业,化学制药,46.99,0.27,23.71,6.4,6.2,38.05,39.21,115
万邦德,化学制药,44.71,8.92,40.78,4.0,6.2,39.48,41.08,92
宏源药业,化学制药,129.08,24.91,44.6,4.0,9.4,43.45,46.26,12
康弘药业,化学制药,145.83,10.04,16.53,4.6,7.6,41.11,43.21,56
京新药业,化学制药,99.88,13.81,29.61,7.0,8.2,41.28,43.43,50
汇宇制药-W,化学制药,60.87,32.86,52.36,1.8,5.8,43.88,46.83,8
溢多利,化学制药,36.46,2.77,32.56,4.6,7.2,38.34,39.59,110
福元医药,化学制药,77.28,28.38,42.92,5.2,9.0,43.59,46.44,11
联环药业,化学制药,27.77,9.78,42.36,7.0,9.2,39.71,41.38,87
吉林敖东,化学制药,203.66,6.58,14.04,7.0,7.2,41.07,43.15,58
赤天化,化学制药,49.95,-10.14,32.14,5.8,7.0,35.67,36.11,128
常山药业,化学制药,47.12,4.58,38.63,7.0,6.4,38.72,40.09,106
华润双鹤,化学制药,174.31,11.66,24.02,5.8,11.6,41.85,44.18,35
国药现代,化学制药,140.29,8.42,45.29,2.2,7.8,40.23,42.06,73
国邦医药,化学制药,117.63,18.52,32.53,4.0,6.4,42.16,44.57,30
昂利康,化学制药,38.29,13.72,31.07,5.2,6.4,40.56,42.48,68
科伦药业,化学制药,394.43,8.61,54.72,5.2,12.0,43.26,46.01,15
亚太药业,化学制药,24.04,-38.43,64.91,4.6,9.2,28.08,26.2,138
浙江医药,化学制药,108.27,7.44,22.41,7.0,11.0,40.38,42.26,70
海辰药业,化学制药,28.99,15.61,26.08,4.6,6.2,40.89,42.93,62
海普瑞,化学制药,175.2,8.82,44.86,5.8,5.4,40.6,42.55,67
金城医药,化学制药,79.42,1.99,30.46,6.4,6.0,38.56,39.88,107
辰欣药业,化学制药,66.27,9.44,20.45,5.2,7.4,40.18,42.0,75
梓橦宫,化学制药,9.17,16.39,23.06,0.8,5.0,40.81,42.82,63
灵康药业,化学制药,36.13,6.06,38.21,4.0,6.4,38.88,40.29,100
丰原药业,化学制药,31.65,6.96,59.41,5.2,9.2,38.91,40.33,98
前沿生物-U,化学制药,40.94,-27.82,24.19,4.0,6.2,31.54,30.71,137
迪哲医药-U,化学制药,142.44,-70.23,15.56,5.2,9.8,21.93,18.16,141
广济药业,化学制药,27.15,9.47,38.63,5.8,7.2,39.56,41.18,90
津药药业,化学制药,56.68,2.92,38.59,5.2,8.2,38.51,39.81,109
卫信康,化学制药,47.78,9.13,27.81,6.4,6.2,39.8,41.5,83
河化股份,化学制药,20.43,-15.92,84.75,5.2,6.2,33.33,33.05,134
海思科,化学制药,242.77,17.09,47.96,1.6,6.8,42.91,45.56,18
新赣江,化学制药,6.48,21.04,20.85,4.6,4.4,41.71,43.99,39
九典制药,化学制药,74.2,13.54,29.68,6.4,6.8,40.9,42.94,61
中 关 村,化学制药,46.09,0.63,48.59,0.8,5.8,37.59,38.61,120
向日葵,化学制药,40.93,-46.33,53.77,5.2,5.4,26.02,23.51,139
冠福股份,化学制药,85.86,-4.99,61.69,1.2,5.8,36.51,37.2,125
德源药业,化学制药,17.93,16.95,21.43,4.8,6.8,41.16,43.27,55
亿帆医药,化学制药,163.92,8.33,27.76,5.2,6.0,40.68,42.64,65
华纳药厂,化学制药,40.46,19.14,27.12,4.6,8.0,41.73,44.02,38
星昊医药,化学制药,12.34,7.25,22.16,4.0,6.8,39.2,40.72,95
润都股份,化学制药,45.55,13.33,34.69,4.6,7.4,40.53,42.45,69
东诚药业,化学制药,120.56,6.23,34.19,7.6,4.8,39.72,41.4,86
圣诺生物,化学制药,27.12,11.31,25.71,5.8,6.2,40.08,41.86,77
恒瑞医药,化学制药,2696.4,19.0,10.21,7.6,9.2,84.61,100.0,1
华东医药,化学制药,726.86,20.01,39.77,8.8,11.0,50.44,55.38,3
博瑞医药,化学制药,82.8,13.81,26.91,1.2,8.6,41.08,43.17,57
华特达因,化学制药,82.46,15.33,17.09,7.6,7.0,41.56,43.8,42
泽璟制药-U,化学制药,123.83,-125.09,42.05,4.6,7.8,8.02,0.0,142
济民医疗,化学制药,53.83,5.81,46.31,6.4,7.6,38.97,40.41,97
峆一药业,化学制药,6.81,17.22,17.58,4.6,6.8,41.17,43.29,54
吉贝尔,化学制药,52.61,15.19,16.26,5.2,6.4,41.2,43.32,51
贝达药业,化学制药,206.48,10.17,32.0,5.8,8.2,41.54,43.77,44
东亚药业,化学制药,32.38,11.79,24.54,5.2,5.8,40.2,42.03,74
苑东生物,化学制药,57.86,15.99,21.85,5.2,7.8,41.38,43.56,47
金迪克,化学制药,41.24,55.86,72.32,5.2,6.2,47.12,51.06,5
兴齐眼药,化学制药,153.6,12.77,23.13,7.6,6.0,41.59,43.84,41
永安药业,化学制药,30.44,7.59,14.74,5.8,5.8,39.54,41.16,91
立方制药,化学制药,45.04,18.37,28.81,5.8,6.6,41.56,43.79,43
微芯生物,化学制药,89.5,2.78,26.43,4.6,7.0,38.9,40.32,99
奥锐特,化学制药,90.18,15.8,12.97,4.6,7.8,41.77,44.07,36
上海谊众,化学制药,103.51,-29.06,4.5,4.6,6.4,32.3,31.71,136
艾力斯,化学制药,108.27,-21.51,21.6,4.0,8.8,33.81,33.67,133
新瀚新材,化学原料,31.34,18.0,13.79,1.2,6.6,40.19,52.69,22
航锦科技,化学原料,223.85,13.82,33.75,6.4,8.4,41.2,54.57,10
中触媒,化学原料,38.89,9.56,30.88,4.6,7.2,39.19,50.83,48
中毅达,化学原料,116.77,27.05,660.7,6.4,6.4,11.79,0.0,67
君正集团,化学原料,380.55,18.18,35.15,6.4,8.0,43.25,58.36,6
红星发展,化学原料,41.93,9.63,29.44,4.6,6.2,39.2,50.85,47
亿利洁能,化学原料,122.13,4.67,46.6,5.2,8.0,39.05,50.58,54
兴化股份,化学原料,48.54,7.59,18.17,5.2,5.8,39.53,51.46,38
云南能投,化学原料,107.08,6.15,43.31,7.0,10.0,39.35,51.13,42
本立科技,化学原料,22.93,14.3,20.62,4.0,6.8,39.7,51.78,33
金能科技,化学原料,74.22,14.13,34.71,0.8,8.8,39.67,51.73,35
丰元股份,化学原料,54.86,3.35,38.1,7.0,4.8,38.56,49.67,61
华鲁恒升,化学原料,711.31,24.65,24.38,7.6,10.4,48.61,68.32,3
维远股份,化学原料,110.33,33.66,44.59,9.2,6.8,41.09,54.37,12
侨源股份,化学原料,119.07,29.18,28.83,4.0,4.8,41.13,54.44,11
北元集团,化学原料,215.69,18.74,25.89,4.6,13.0,42.1,56.24,7
鲁北化工,化学原料,32.51,8.35,40.07,4.6,0.8,38.35,49.28,63
金三江,化学原料,31.04,26.82,19.97,4.6,5.0,40.53,53.32,16
迪尔化工,化学原料,7.4,19.03,37.96,4.0,6.2,39.2,50.86,46
氯碱化工,化学原料,107.08,22.02,21.23,7.0,11.6,41.37,54.88,8
湘潭电化,化学原料,76.42,8.88,57.48,5.2,9.6,38.64,49.81,60
天原股份,化学原料,83.83,5.77,62.72,7.0,10.6,38.44,49.44,62
华谊集团,化学原料,141.74,7.37,55.17,7.0,8.0,39.13,50.72,51
奥克股份,化学原料,54.48,9.01,39.75,5.8,11.4,39.31,51.06,44
美邦科技,化学原料,6.71,13.12,39.31,4.0,6.8,38.81,50.13,57
诚志股份,化学原料,100.86,3.27,28.57,5.8,10.6,39.68,51.74,34
万丰股份,化学原料,23.02,20.79,39.66,5.8,6.0,39.41,51.24,41
中盐化工,化学原料,139.01,17.21,51.86,8.2,7.6,39.9,52.16,28
汉维科技,化学原料,5.31,18.25,37.4,5.2,6.0,39.17,50.81,49
和邦生物,化学原料,226.96,10.92,19.25,5.2,6.2,41.36,54.87,9
丹化科技,化学原料,29.68,-16.42,26.31,4.0,6.4,37.76,48.19,66
瑞泰新材,化学原料,149.82,17.78,39.4,5.8,8.4,40.51,53.29,18
星辉环材,化学原料,47.17,31.0,33.66,4.0,6.0,40.51,53.29,17
三维化学,化学原料,39.97,12.66,20.31,4.0,10.6,40.03,52.39,24
安 纳 达,化学原料,25.39,13.71,24.2,5.2,6.6,39.56,51.53,37
江苏索普,化学原料,82.8,13.42,17.1,5.8,8.4,40.42,53.11,19
龙佰集团,化学原料,440.1,19.3,50.93,7.0,6.4,43.43,58.71,5
镇洋发展,化学原料,52.74,31.77,32.61,5.2,6.6,40.73,53.69,15
中核钛白,化学原料,234.58,13.16,38.16,8.2,6.0,40.98,54.17,13
苏盐井神,化学原料,77.75,8.33,43.46,6.4,7.8,39.04,50.56,55
惠云钛业,化学原料,38.72,11.07,30.78,1.2,6.4,39.16,50.78,50
华润材料,化学原料,160.82,15.95,44.16,6.4,7.6,40.26,52.83,21
鲁西化工,化学原料,200.91,20.55,54.26,7.6,9.6,40.83,53.87,14
金浦钛业,化学原料,31.58,-1.72,36.28,5.2,4.4,38.09,48.8,65
江盐集团,化学原料,78.8,10.2,58.46,4.0,9.8,38.69,49.91,59
三友化工,化学原料,125.93,9.79,49.59,7.6,14.8,39.99,52.33,25
宿迁联盛,化学原料,59.95,18.64,35.97,4.6,8.0,39.82,52.0,31
恒光股份,化学原料,28.96,24.21,22.08,5.2,6.2,40.34,52.98,20
金牛化工,化学原料,34.97,3.9,10.09,5.8,5.8,39.51,51.43,39
新疆天业,化学原料,85.37,11.99,42.0,6.4,3.6,39.12,50.7,52
中泰化学,化学原料,186.48,6.2,62.73,0.4,8.4,39.07,50.61,53
山东海化,化学原料,63.91,12.66,32.12,4.6,8.4,39.63,51.65,36
振华股份,化学原料,59.96,13.43,24.0,5.8,8.2,39.96,52.26,27
齐鲁华信,化学原料,6.36,12.19,32.27,0.4,8.0,39.03,50.54,56
卫星化学,化学原料,538.67,18.88,54.05,8.2,7.0,44.67,61.01,4
宝丰能源,化学原料,1032.54,22.71,36.58,7.0,9.6,51.86,74.34,2
雪天盐业,化学原料,126.8,7.65,31.99,5.2,8.4,39.87,52.09,29
华塑股份,化学原料,135.03,17.27,49.13,1.6,9.6,39.97,52.28,26
大洋生物,化学原料,20.12,13.33,26.85,4.0,7.2,39.42,51.26,40
滨化股份,化学原料,99.81,11.18,41.36,5.2,11.6,39.78,51.92,32
三祥新材,化学原料,46.13,13.59,34.25,4.0,6.8,39.33,51.1,43
华尔泰,化学原料,40.12,23.36,28.6,4.6,5.8,40.09,52.52,23
隆华新材,化学原料,47.6,15.42,17.86,1.2,4.4,39.86,52.09,30
鸿达兴业,化学原料,76.8,9.01,51.99,6.4,7.4,38.72,49.96,58
双环科技,化学原料,39.96,324.21,83.99,5.2,6.6,65.69,100.0,1
柳化股份,化学原料,27.0,6.46,20.18,4.6,7.0,39.28,51.01,45
硅烷科技,化学原料,36.46,13.73,64.83,5.8,8.4,38.25,49.1,64
蒙泰高新,化纤行业,26.5,19.24,15.53,4.0,4.6,62.13,73.28,12
恒逸石化,化纤行业,270.57,9.71,67.0,5.2,7.2,64.05,75.75,8
荣盛石化,化纤行业,1301.13,16.64,72.73,1.8,7.4,82.96,100.0,1
桐昆股份,化纤行业,353.71,13.89,52.06,1.2,8.4,66.81,79.28,5
江南高纤,化纤行业,36.37,4.85,5.18,4.6,5.6,60.37,71.03,21
东方盛虹,化纤行业,848.88,8.92,64.69,5.2,6.4,76.75,92.04,3
恒力石化,化纤行业,1087.54,22.4,76.57,2.0,5.2,80.65,97.03,2
新凤鸣,化纤行业,183.54,10.83,55.37,2.6,6.8,62.73,74.05,10
海正生材,化纤行业,26.41,10.19,45.72,5.8,10.0,60.61,71.33,19
中复神鹰,化纤行业,311.49,10.37,55.06,6.4,9.4,65.87,78.08,6
尤夫股份,化纤行业,71.15,-160.93,92.37,4.6,6.0,4.99,0.0,29
华鼎股份,化纤行业,40.74,-5.82,37.81,1.6,10.6,57.74,67.65,27
皖维高新,化纤行业,118.76,11.41,45.64,5.2,9.6,62.43,73.67,11
新乡化纤,化纤行业,50.6,5.09,51.74,4.6,9.6,59.83,70.34,24
恒天海龙,化纤行业,25.23,8.39,21.29,4.6,5.2,60.41,71.08,20
同益中,化纤行业,38.1,13.55,17.15,5.8,7.8,61.94,73.03,15
中简科技,化纤行业,183.08,18.79,17.81,4.6,7.4,65.35,77.41,7
华峰化学,化纤行业,367.23,28.29,42.05,9.4,10.0,70.34,83.81,4
海 利 得,化纤行业,65.63,12.2,48.92,7.6,8.4,61.54,72.53,17
美达股份,化纤行业,27.41,1.26,50.15,4.0,7.8,58.56,68.71,26
神马股份,化纤行业,76.12,17.6,66.98,5.8,9.4,61.92,73.02,16
优彩资源,化纤行业,25.65,9.96,30.96,7.0,5.4,60.64,71.37,18
吉林碳谷,化纤行业,119.06,18.19,75.71,4.6,5.2,61.94,73.04,14
华西股份,化纤行业,87.54,4.61,40.58,0.8,6.8,60.15,70.74,23
南京化纤,化纤行业,18.94,-7.16,33.11,7.0,8.0,57.46,67.29,28
吉林化纤,化纤行业,90.98,-1.44,62.56,5.8,8.4,58.89,69.13,25
苏州龙杰,化纤行业,18.76,7.24,15.79,4.0,6.0,60.27,70.89,22
汇隆新材,化纤行业,20.59,19.04,24.49,5.2,5.8,62.04,73.17,13
泰和新材,化纤行业,177.68,12.68,41.22,6.4,9.8,64.03,75.72,9
新洋丰,化肥行业,149.63,13.8,36.49,7.0,9.2,26.57,36.38,7
盐湖股份,化肥行业,1080.06,27.78,92.8,6.4,14.2,58.58,100.0,1
藏格矿业,化肥行业,374.88,17.14,12.89,6.4,7.4,35.45,54.03,3
辉隆股份,化肥行业,73.36,9.97,64.37,5.2,7.6,20.48,24.26,17
兴发集团,化肥行业,261.35,17.64,60.45,7.6,12.0,30.75,44.69,5
四川美丰,化肥行业,48.67,9.91,23.07,4.6,11.0,24.77,32.79,9
天禾股份,化肥行业,26.73,11.22,76.14,4.6,7.4,19.8,22.92,18
云天化,化肥行业,334.21,20.38,80.72,8.2,10.4,32.95,49.06,4
金正大,化肥行业,76.89,-19.77,62.6,4.6,3.4,8.27,0.0,22
泸天化,化肥行业,74.64,101.1,33.77,4.6,8.6,56.54,95.94,2
川金诺,化肥行业,54.2,11.81,36.84,6.4,7.4,23.37,30.01,14
司尔特,化肥行业,59.24,8.75,28.8,6.4,9.8,23.7,30.67,13
云图控股,化肥行业,113.41,17.71,65.18,6.4,5.4,24.67,32.6,10
亚钾国际,化肥行业,247.24,10.57,8.74,4.6,9.4,29.72,42.65,6
富邦股份,化肥行业,21.04,5.12,25.6,0.8,7.4,20.71,24.73,16
阳煤化工,化肥行业,78.65,0.87,76.72,4.6,8.2,15.53,14.44,20
川发龙蟒,化肥行业,160.07,7.9,36.99,7.6,8.8,24.24,31.75,12
芭田股份,化肥行业,54.82,2.36,45.93,0.8,8.2,17.92,19.18,19
华昌化工,化肥行业,72.95,16.85,52.61,5.8,8.6,24.99,33.25,8
ST澄星,化肥行业,60.29,19.48,75.65,4.6,7.2,24.36,31.99,11
史丹利,化肥行业,73.46,6.14,36.25,4.6,7.0,20.75,24.81,15
六国化工,化肥行业,30.25,-2.78,72.77,6.4,7.8,13.91,11.21,21
华大智造,医疗器械,382.39,15.61,77.13,4.0,11.4,36.54,36.71,49
东方生物,医疗器械,81.18,62.52,29.0,6.4,6.6,42.36,43.89,5
楚天科技,医疗器械,80.83,8.23,60.24,8.2,8.0,33.08,32.43,101
九强生物,医疗器械,118.22,12.82,18.51,5.8,8.6,35.39,35.28,68
艾德生物,医疗器械,102.17,17.9,10.63,6.4,6.2,36.35,36.48,53
兰卫医学,医疗器械,66.53,14.63,21.63,1.2,7.4,35.07,34.89,74
透景生命,医疗器械,33.35,11.99,7.79,6.4,5.4,35.0,34.8,75
合富中国,医疗器械,34.15,11.36,34.16,4.6,6.0,33.86,33.39,93
振德医疗,医疗器械,78.1,30.29,34.99,7.0,8.8,37.56,37.96,30
硕世生物,医疗器械,31.44,43.52,21.37,5.2,6.8,39.53,40.41,17
阳普医疗,医疗器械,23.47,-3.0,44.76,1.4,7.4,30.73,29.53,116
康泰医学,医疗器械,93.82,24.27,26.79,4.6,4.8,36.69,36.89,45
东富龙,医疗器械,166.52,9.63,48.99,6.4,8.8,34.17,33.77,89
华大基因,医疗器械,248.97,16.31,30.67,5.8,9.0,36.56,36.73,48
尚荣医疗,医疗器械,35.56,1.01,32.21,4.6,7.8,32.11,31.23,110
惠泰医疗,医疗器械,221.64,21.65,21.88,0.8,6.6,37.34,37.69,33
九安医疗,医疗器械,173.05,37.21,19.84,5.2,5.6,39.6,40.49,15
福瑞股份,医疗器械,57.35,4.62,29.15,0.8,6.4,32.88,32.18,102
鱼跃医疗,医疗器械,343.25,17.94,26.23,8.2,10.6,37.98,38.49,27
基蛋生物,医疗器械,63.39,20.69,21.8,6.4,7.8,36.21,36.3,57
凯利泰,医疗器械,48.33,6.48,24.45,7.0,4.8,33.45,32.89,97
贝瑞基因,医疗器械,39.5,5.42,23.04,5.2,6.8,33.27,32.67,100
达安基因,医疗器械,141.61,42.76,32.22,6.4,6.4,39.92,40.89,14
欧普康视,医疗器械,302.72,26.39,11.44,7.6,6.6,39.32,40.15,19
海泰新光,医疗器械,61.15,24.47,18.16,5.8,4.4,36.81,37.04,40
东星医疗,医疗器械,33.23,11.65,22.93,5.2,5.2,34.29,33.92,88
理邦仪器,医疗器械,75.91,17.18,15.67,5.8,4.4,35.79,35.78,61
迈克生物,医疗器械,93.89,18.55,32.91,5.2,5.8,35.56,35.5,65
长药控股,医疗器械,25.22,-9.32,53.26,1.8,6.8,29.19,27.63,118
奥泰生物,医疗器械,40.47,46.51,14.48,4.0,4.8,40.14,41.15,12
健帆生物,医疗器械,191.91,31.32,20.86,6.4,8.0,38.92,39.65,21
正川股份,医疗器械,31.53,6.98,26.38,4.6,6.8,33.36,32.77,98
三友医疗,医疗器械,57.47,15.5,13.39,2.0,5.8,35.42,35.32,67
明德生物,医疗器械,58.27,48.54,14.46,4.6,6.0,40.6,41.72,9
博晖创新,医疗器械,45.5,-5.87,58.32,5.2,5.6,29.92,28.52,117
大博医疗,医疗器械,132.9,24.54,19.55,5.2,5.2,37.28,37.62,34
美康生物,医疗器械,44.2,2.93,44.97,5.8,5.0,32.01,31.11,112
浩欧博,医疗器械,21.54,24.58,29.35,4.6,6.2,36.23,36.32,56
三诺生物,医疗器械,136.83,9.63,25.24,8.2,5.8,34.65,34.37,80
可孚医疗,医疗器械,86.17,29.14,36.88,4.6,7.4,37.24,37.57,35
黄山胶囊,医疗器械,26.35,6.3,16.13,5.2,6.2,33.61,33.08,96
万孚生物,医疗器械,118.02,22.9,24.56,7.0,6.8,36.84,37.08,39
之江生物,医疗器械,47.55,30.87,12.54,5.2,5.2,37.94,38.44,28
海尔生物,医疗器械,147.78,16.44,29.73,6.4,10.2,35.94,35.97,60
利德曼,医疗器械,31.88,-0.4,14.85,5.2,6.2,32.49,31.71,106
热景生物,医疗器械,37.4,41.02,16.83,0.8,5.0,39.2,39.99,20
港通医疗,医疗器械,33.64,12.67,52.2,4.0,7.8,33.63,33.12,95
蓝帆医疗,医疗器械,73.22,7.93,37.67,0.4,6.6,33.29,32.7,99
山外山,医疗器械,66.46,-1.58,36.25,2.0,6.4,31.51,30.5,115
怡和嘉业,医疗器械,93.16,44.86,23.33,4.0,7.0,40.09,41.09,13
荣丰控股,医疗器械,17.59,4.18,56.18,5.2,6.0,31.81,30.86,113
奥精医疗,医疗器械,32.33,12.58,14.87,1.6,6.2,34.71,34.45,79
英科医疗,医疗器械,146.08,44.83,34.28,7.6,6.0,40.23,41.27,11
安旭生物,医疗器械,52.24,69.83,27.89,4.6,5.8,43.05,44.75,4
诺唯赞,医疗器械,122.44,33.32,24.61,5.2,5.8,38.48,39.1,24
科美诊断,医疗器械,39.02,-0.99,11.58,4.0,6.0,32.54,31.76,104
乐心医疗,医疗器械,21.13,3.9,42.26,5.8,6.0,32.18,31.31,109
冠昊生物,医疗器械,37.49,-15.66,34.54,6.4,7.6,28.83,27.17,119
圣湘生物,医疗器械,105.16,36.47,16.51,5.8,11.2,39.36,40.19,18
锦好医疗,医疗器械,8.92,27.68,20.08,6.4,5.6,36.98,37.25,36
威高骨科,医疗器械,173.96,20.1,23.24,6.4,7.8,36.85,37.08,38
科华生物,医疗器械,50.4,18.03,30.52,4.6,7.2,35.3,35.18,70
爱朋医疗,医疗器械,21.01,9.88,13.33,5.2,8.0,34.4,34.06,85
三鑫医疗,医疗器械,36.57,14.05,32.28,4.0,6.8,34.43,34.1,84
山东药玻,医疗器械,167.03,12.51,24.22,7.0,5.0,35.35,35.23,69
戴维医疗,医疗器械,48.93,8.9,13.88,5.8,6.2,34.32,33.96,87
亚辉龙,医疗器械,94.37,27.53,43.98,4.0,6.2,36.78,37.0,41
澳华内镜,医疗器械,76.1,4.72,11.12,5.2,9.0,34.0,33.57,91
西山科技,医疗器械,57.18,-119.19,48.25,4.6,5.6,6.84,0.0,120
正海生物,医疗器械,61.2,19.73,15.05,6.4,7.4,36.26,36.37,54
康拓医疗,医疗器械,27.73,22.7,15.64,4.0,6.6,36.42,36.55,51
开立医疗,医疗器械,189.92,11.38,31.08,7.0,5.8,35.09,34.92,73
迪瑞医疗,医疗器械,68.72,14.83,22.19,1.8,9.4,35.21,35.07,72
新产业,医疗器械,446.68,25.01,9.27,6.4,6.6,40.45,41.54,10
昊海生科,医疗器械,155.72,7.02,11.56,5.2,9.2,34.94,34.73,76
佰仁医疗,医疗器械,162.06,14.35,4.93,5.8,6.2,36.4,36.53,52
万泰生物,医疗器械,864.41,37.43,27.13,4.6,6.4,46.42,48.92,2
乐普医疗,医疗器械,377.63,19.78,44.39,6.4,8.6,37.85,38.33,29
采纳股份,医疗器械,41.2,26.54,28.1,5.2,7.0,36.76,36.98,42
ST南卫,医疗器械,13.07,4.47,41.81,1.4,5.0,32.11,31.23,111
凯普生物,医疗器械,65.43,23.9,13.86,5.2,6.6,36.95,37.22,37
维力医疗,医疗器械,41.01,10.6,27.58,6.4,4.8,34.01,33.58,90
中红医疗,医疗器械,58.93,50.67,33.35,6.4,9.8,40.6,41.72,8
睿昂基因,医疗器械,21.21,5.07,7.47,4.6,6.8,33.75,33.26,94
奥美医疗,医疗器械,66.75,22.09,43.9,5.2,6.2,35.69,35.66,63
麦澜德,医疗器械,34.21,54.91,27.93,1.6,6.8,40.94,42.14,7
宝莱特,医疗器械,30.01,16.15,37.55,6.4,9.0,34.78,34.53,77
安必平,医疗器械,22.88,11.35,13.79,1.6,7.4,34.53,34.23,82
翔宇医疗,医疗器械,76.02,23.44,20.75,5.2,4.2,36.63,36.82,47
鹿得医疗,医疗器械,8.91,13.13,22.68,4.0,5.0,34.37,34.03,86
博拓生物,医疗器械,30.85,59.71,25.39,4.0,7.2,41.68,43.06,6
