name,gender,age,education
荆继武,男,59,博士
郑鹏程,男,57,博士
何红渠,男,59,博士
叶婷,女,34,本科
黄露华,女,40,专科学历
叶文达,女,39,硕士
TEO SWEE ANN(张瑞安),男,48,硕士
王珏,女,40,硕士
TEO TECK LEONG,男,68,本科
NG PEI CHI(黄佩琪),女,46,硕士
LEE SZE CHIN,男,48,硕士
KOH CHUAN KOON,男,48,硕士
蓝宇哲,男,39,本科
吕志华,女,27,本科
王易文,女,40,本科
付寒玉,女,31,本科
邵静博,女,42,硕士
孙洪军,男,50,硕士
郭辉,男,51,硕士
娄声波,女,42,本科
杜黎明,男,43,本科
杨婷,女,49,硕士
程剑涛,男,47,本科
马莉黛,女,69,本科
胡改蓉,女,46,博士
王国兴,男,48,博士
吴绍夫,男,50,硕士
林素芳,女,35,本科
管少钧,男,40,本科
史艳,女,50,大专
GERALD ZHEYAO YIN(尹志尧),男,79,博士
陈伟文(WEIWEN CHEN),男,56,硕士
刘晓宇,男,43,硕士
ZHIYOU DU(杜志游),男,64,博士
朱新萍(HSIN-PING CHU),男,58,本科
TUQIANG NI(倪图强),男,61,博士
朱民,男,50,硕士
陶珩,男,48,硕士
王耀,男,59,硕士
丛海,男,56,硕士
杨卓,男,37,硕士
张亮,男,41,硕士
张聿,男,51,硕士
孔伟,男,52,本科
SHIMIN CHEN(陈世敏),男,65,博士
张卫,男,55,博士
邹非,女,38,本科
黄晨,男,32,硕士
王志军,男,45,硕士
杨小奇,男,60,硕士
万建军,男,52,硕士
李源,男,42,硕士
刘文江,男,48,博士
高厚新,男,48,硕士
陈浩,男,57,本科
李蓬,男,52,硕士
杨晓河,男,45,硕士
方瑛,女,48,硕士
张文军,男,60,博士
张占平,男,41,硕士
陈晓春,男,45,本科
汤勇,男,44,本科
庄思宏,男,55,本科
冯小军,女,55,本科
蒋燕波,男,45,硕士
葛伟国,男,49,硕士
赵建华,男,44,硕士
刘剑,男,41,硕士
刘利萍,女,44,本科
刘圻,男,46,博士
张光,男,38,本科
王劲涛,男,45,博士
高平,女,43,大专
胡倩,女,32,大专
廖陆,女,37,高中
陈天石,男,38,博士
刘少礼,男,36,博士
叶淏尹,女,35,硕士
王在,男,39,博士
陈煜,男,46,本科
刘毅,男,38,硕士
陈帅,男,37,博士
张尧,男,37,硕士
刘立群,男,50,硕士
吕红兵,男,57,博士
王秀丽,女,58,博士
胡燏翀,男,40,博士
廖莎,女,39,硕士
王敦纯,男,43,硕士
胡帅,男,37,硕士
罗珊珊,女,57,硕士
王立平,男,34,硕士
赵小婷,女,31,本科
郑骎,男,33,博士
张宏伟,男,48,本科
杨坤,男,42,本科
白清利,男,44,硕士
王文荣,男,37,博士
夏成才,男,74,硕士
蒋国良,男,47,本科
张迎春,男,62,硕士
张丽,女,42,本科
姜毅,男,62,本科
吕丞,男,31,本科
YANG YONG,男,51,硕士
周彦,男,53,本科
王继通,男,55,本科
LIU ZEYU(柳泽宇),男,48,硕士
MIAO XIAOYU(苗小雨),男,46,硕士
李振华,男,45,硕士
罗勇,男,53,本科
吴新元,男,52,硕士
华金秋,男,49,博士
吴敬,男,50,博士
宋晓科,男,,博士
蒋智勇,男,54,本科
周飞,男,50,本科
冯超,男,46,专科学历
徐辰,男,47,博士
欧阳坚,男,47,硕士
马伟剑,男,42,硕士
莫要武,男,55,博士
高秉强,男,72,博士
初家祥,男,53,硕士
路峰,男,54,本科
李冰晶,女,42,硕士
许军,男,60,博士
施海娜,女,42,博士
高富平,男,60,博士
陈碧,男,44,硕士
孙杨,男,38,硕士
Wenge Hu(胡文阁),男,60,硕士
张建辉,男,55,硕士
叶茂,男,41,硕士
丁然,男,50,本科
蔡霄鹏,男,41,本科
侯丽荣,女,63,本科
王忠为,男,53,本科
陈亚斌,男,52,本科
冉茂良,男,28,本科
陈惠恒,男,44,本科
郑琼,女,38,本科
刘梦,女,36,本科
藏伟,女,52,本科
刘景裕,男,59,本科
罗琼,女,59,硕士
郝寨玲,女,47,本科
徐浙,女,61,硕士
王秋娟,女,45,大专
骆悦,男,33,本科
李道远,男,42,硕士
汪国平,男,59,博士
陈岚清,男,34,本科
李志雄,男,48,大专
奚国平,男,52,高中
陈映,女,40,中专
杨崇和,男,66,博士
Stephen Kuong-Io Tai,男,52,硕士
苏琳,女,51,本科
Brent Alexander Young,男,47,硕士
李荣信,男,53,本科
施懿,女,37,本科
傅晓,女,37,硕士
吕长江,男,58,博士
俞波,男,54,本科
刘敬东,男,55,博士
夏晓燕,女,55,博士
蔡晓虹,男,65,硕士
方周婕,女,27,本科
郁发新,男,48,博士
张兵,男,39,硕士
陈浔濛,男,51,本科
谢炳武,男,53,硕士
邓凯,男,44,硕士
张海鹰,男,52,本科
李娜,女,32,本科
周守利,男,51,博士
江乾坤,男,49,博士
翁国民,男,59,博士
卢超,男,40,本科
邢宏波,男,34,本科
宋启河,男,40,本科
张帆,男,58,本科
胡煜华,女,50,硕士
王丽,女,42,本科
郭峰伟,男,42,博士
朱星火,男,61,硕士
XIE BING(谢兵),男,56,硕士
庄任艳,女,53,硕士
张彤,男,56,博士
高翔,男,43,硕士
冯敬平,女,38,大专
潘尚锋,男,45,高中
陈尚平,男,49,大专
沈华,男,60,博士
陈幼兴,男,62,高中
胡畏,女,59,硕士
汤艺,女,50,博士
李云超,男,58,中专
戴志展,男,53,硕士
许浩平,男,60,本科
张哲,男,37,硕士
龚央娜,女,41,大专
黄苏融,男,70,本科
徐攀,女,36,博士
郭清,男,44,博士
