id,name,ROE_2022,ROE_2021,ROE_2020,ROE_2019,ROE_2018,asset_liability_2022,asset_liability_2021,asset_liability_2020,asset_liability_2019,asset_liability_2018
2114,罗平锌电,-17.52,2.10,-8.47,1.65,-15.41,48.71,36.22,37.31,29.84,29.47
933,神火股份,57.52,37.64,7.67,33.91,0.13,64.96,73.13,79.51,82.93,85.14
600255,鑫科材料,7.44,4.81,5.52,-69.04,-44.64,54.96,54.81,54.57,59.41,45.39
601137,博威合金,9.41,5.83,10.07,11.80,10.75,58.46,54.17,43.15,50.56,39.33
600497,驰宏锌锗,4.50,3.93,3.13,5.25,4.44,35.26,39.85,41.3,43.18,47.35
2806,华锋股份,-0.78,5.44,-25.20,2.69,12.74,38.5,35.25,40.28,33.87,28.96
758,中色股份,3.13,0.91,0.46,-19.92,2.34,59.58,55.48,59.3,66.3,62.68
600961,株冶集团,,,,,-11.58,77.0,85.0,86.52,90.88,90.73
426,兴业银锡,3.19,4.69,-3.50,1.92,-3.22,42.29,40.68,44.65,42.01,42.78
601212,白银有色,0.23,0.53,0.50,0.48,0.26,61.76,63.23,61.83,65.79,71.99
300057,万顺新材,-0.09,5.36,4.51,3.36,1.52,43.52,46.28,54.24,56.17,56.21
603045,福达合金,3.37,6.66,5.40,9.18,8.86,52.15,59.89,56.94,43.99,42.45
807,云铝股份,22.32,24.65,7.94,5.81,-16.19,35.29,44.48,66.46,68.23,75.44
600331,宏达股份,15.82,151.77,-191.47,3.74,-74.86,82.4,84.56,97.89,50.64,52.93
603,盛达资源,13.05,17.56,13.53,22.13,25.56,34.3,40.87,43.48,38.76,42.08
300855,图南股份,18.76,15.95,14.86,23.17,19.20,21.11,10.34,4.27,22.25,30.36
751,锌业股份,2.22,6.34,7.89,10.49,2.21,63.56,64.48,50.33,42.6,47.99
60,中金岭南,8.61,9.36,8.66,8.05,9.09,53.16,50.14,47.26,44.08,45.06
300930,屹通新材,12.07,14.78,19.91,22.87,20.32,5.53,7.51,11.66,24.38,28.43
300697,电工合金,11.93,11.90,13.23,16.27,9.07,35.07,36.34,29.69,31.61,35.40
601020,华钰矿业,5.43,4.63,3.16,4.63,11.70,34.52,33.35,35.34,37.85,32.23
603937,丽岛新材,5.69,8.79,7.89,8.46,8.98,16.29,18.59,18.89,13.34,8.78
688122,西部超导,19.16,24.09,13.84,7.27,7.11,43.73,37.85,47.89,45.55,50.44
600361,创新新材,19.63,32.11,55.77,3.08,2.91,53.07,71.15,65.83,71.11,73.42
600595,中孚实业,9.45,17.94,-70.95,3.11,-56.92,40.41,46.8,100.55,88.96,89.37
603132,金徽股份,15.31,23.05,22.72,14.36,5.96,37.31,51.81,62.36,70.27,84.94
600531,豫光金铅,10.07,10.26,8.73,6.41,4.01,68.45,69.66,68.89,68.16,69.51
300051,三五互联,-15.46,-10.48,-24.66,-57.07,-43.33,69.19,66.64,65.65,61.31,45.86
2602,世纪华通,-25.71,7.72,10.60,11.10,8.99,23.9,20.89,29.94,23.15,15.48
300459,汤姆猫,11.82,22.40,22.92,-54.54,11.09,37.81,48.28,58.59,54.1,47.28
300113,顺网科技,-18.75,2.51,3.63,3.25,10.79,15.58,16.69,13.79,22.76,20.26
603444,吉比特,32.49,35.97,31.03,28.14,28.05,27.44,28.77,21.16,21.37,21.88
600715,文投控股,-84.67,-27.81,-74.16,0.20,-9.70,84.27,70.64,61.13,41.88,33.54
2113,*ST天润,-423.42,-147.19,100.82,-176.13,-14.14,106.67,87.0,78.73,92.53,18.13
300052,中青宝,-9.75,-6.09,-18.71,6.46,4.74,43.24,41.07,33.92,41.02,37.70
2624,完美世界,14.54,3.51,15.24,16.73,20.41,41.05,38.35,27.89,39.09,41.74
2425,凯撒文化,-13.98,1.89,2.99,5.24,7.30,10.88,9.86,16.7,17.87,18.22
300031,宝通科技,-10.92,12.56,15.67,12.62,11.58,34.36,27.38,35.27,34.32,28.91
2555,三七互娱,25.41,30.24,34.84,32.66,16.59,27.98,24.8,42.59,28.11,27.18
300299,富春股份,7.61,15.42,7.67,-62.72,4.59,44.16,48.05,60.82,64.21,43.37
603258,电魂网络,8.07,14.60,19.07,12.65,7.72,16.56,18.74,25.11,23.14,11.27
300002,神州泰岳,11.83,9.35,9.55,-33.43,1.55,16.66,17.43,23.78,29.08,21.17
300533,冰川网络,7.49,-3.80,5.02,9.82,6.46,37.35,24.49,13.61,11.95,13.34
2558,巨人网络,7.58,9.97,10.82,9.49,12.17,9.9,11.15,12.1,18.87,14.96
600892,大晟文化,14.83,-53.74,8.91,-101.70,-80.29,45.89,60.01,48.22,58.43,35.36
300315,掌趣科技,2.20,-25.60,5.75,6.73,-45.30,12.2,13.47,11.07,7.35,12.45
2168,惠程科技,-256.14,-97.17,-40.23,-95.02,20.44,93.97,85.98,71.76,71.36,44.39
2174,游族网络,-13.12,3.29,-3.71,5.49,23.62,27.69,26.09,41.12,44.59,38.54
300494,盛天网络,15.71,14.54,5.76,5.23,5.50,25.18,31.46,27.31,29.83,11.32
300467,迅游科技,-3.65,-26.41,3.09,-73.27,-30.08,27.76,26.29,27.69,32.0,19.92
2605,姚记科技,13.38,25.55,60.77,19.79,8.32,38.05,38.46,45.6,47.99,27.65
600633,浙数文化,5.39,5.94,6.23,6.31,5.85,16.89,18.42,17.01,19.35,13.44
2517,恺英网络,26.19,18.46,6.28,-49.98,4.51,21.37,14.79,15.12,24.48,15.62
300148,天舟文化,-25.61,-36.21,-28.89,0.98,-29.99,23.96,19.77,13.46,17.22,17.03
300043,星辉娱乐,-15.74,-25.49,0.88,8.93,8.95,57.12,52.77,45.17,48.65,53.58
1227,兰州银行,5.77,5.76,6.86,7.07,11.34,92.68,92.75,92.43,93.55,93.01
1,平安银行,12.36,10.85,9.58,11.30,11.49,91.83,91.96,91.85,92.05,92.98
2958,青农商行,6.97,10.63,11.58,12.38,12.86,91.61,91.86,92.7,92.61,92.74
600036,招商银行,17.06,16.96,15.73,16.84,16.57,90.59,90.64,91.27,91.67,91.94
600928,西安银行,8.57,10.59,11.24,11.94,12.61,92.79,92.02,91.64,91.5,91.79
601187,厦门银行,11.38,10.98,11.23,11.11,10.94,93.33,92.94,93.1,93.69,94.00
601577,长沙银行,12.57,13.26,13.76,15.61,16.91,93.13,92.89,93.51,93.05,93.97
600919,江苏银行,14.79,12.60,11.91,12.65,12.43,92.77,92.44,92.21,93.39,93.53
2142,宁波银行,15.56,16.63,14.90,17.10,18.72,92.88,92.56,92.69,92.36,92.72
601077,渝农商行,9.76,9.87,9.28,12.82,13.55,91.49,91.62,91.67,91.32,92.45
2839,张家港行,12.21,11.08,9.15,9.22,9.39,91.61,91.15,92.14,91.27,91.18
601825,沪农商行,11.22,11.39,11.02,13.14,13.25,91.75,91.6,92.39,92.02,92.23
603323,苏农银行,10.92,9.31,8.07,8.44,9.08,92.05,91.64,91.29,90.77,91.85
601988,中国银行,10.81,11.28,10.61,11.45,12.06,91.13,91.2,91.14,91.32,91.89
2936,郑州银行,3.53,7.17,8.37,9.30,10.03,91.1,89.67,91.61,92.03,91.88
2966,苏州银行,11.52,9.96,8.96,9.85,10.08,92.29,92.43,91.95,91.57,92.10
601128,常熟银行,13.06,11.62,10.34,11.52,12.62,91.62,91.43,90.84,90.32,91.88
600908,无锡银行,13.01,11.41,10.84,11.22,10.68,90.78,92.11,92.18,92.76,92.92
601997,贵阳银行,11.82,13.34,15.75,17.41,18.88,90.92,91.12,92.47,92.8,92.88
2948,青岛银行,8.95,10.40,8.56,8.27,8.36,93.09,93.62,93.28,91.84,91.34
601229,上海银行,2.97,11.00,8.95,6.63,3.11,92.36,92.3,92.47,92.46,92.32
601288,农业银行,11.28,11.57,11.35,12.43,13.66,92.12,91.67,91.87,92.15,92.59
601916,浙商银行,9.01,9.83,10.03,12.92,14.04,93.67,92.7,93.53,92.89,93.78
601169,北京银行,9.60,10.29,10.65,11.45,10.89,90.83,90.29,92.37,92.37,92.45
601398,工商银行,11.43,12.15,11.95,13.05,13.79,91.12,90.69,91.27,91.06,91.53
600000,浦发银行,7.98,8.75,10.81,12.29,13.14,91.88,91.66,91.88,91.99,92.39
601658,邮储银行,11.89,11.86,11.84,13.10,12.31,94.13,93.68,94.07,94.67,95.01
600016,民生银行,6.31,6.59,6.81,12.40,12.94,91.55,91.56,92.21,92.06,92.81
2807,江阴银行,11.87,10.15,8.85,9.10,8.92,91.46,91.4,91.41,90.6,90.74
600926,杭州银行,14.09,12.33,11.14,12.15,11.01,93.9,93.52,93.08,93.89,93.79
601963,重庆银行,10.20,10.99,12.23,12.95,12.77,92.48,92.04,92.52,92.3,92.31
601818,光大银行,10.27,10.64,10.72,11.77,11.55,91.91,91.79,91.52,91.84,92.60
601166,兴业银行,13.85,13.94,12.62,14.02,14.27,91.83,91.93,92.09,92.31,92.96
601328,交通银行,10.33,10.76,10.35,11.20,11.36,92.04,91.62,91.79,91.91,92.60
600015,华夏银行,9.00,9.04,8.64,10.61,12.67,91.71,91.82,91.69,91.08,91.84
601009,南京银行,15.12,14.85,14.32,16.53,16.96,92.34,92.99,92.88,93.45,93.66
601665,齐鲁银行,11.92,11.40,11.43,11.43,11.78,92.97,92.48,92.42,92.63,92.14
601998,中信银行,10.80,10.73,10.11,11.07,11.39,91.98,92.01,92.54,92.11,92.53
601939,建设银行,12.27,12.55,12.12,13.18,14.04,91.69,91.36,91.51,91.21,91.42
601838,成都银行,19.48,17.60,15.94,16.63,16.04,93.31,93.23,92.93,93.62,93.65
601528,瑞丰银行,10.80,10.33,10.43,10.62,10.89,90.49,89.91,91.31,90.49,90.85
601860,紫金银行,9.64,9.85,10.14,10.80,11.93,92.39,92.26,93.19,93.17,93.64
