公司名称,公司代码,高管姓名,高管性别,高管年龄,高管学历,高管薪酬,高管职务
恒瑞医药,600276,沈亚平,男,61,博士,198.4万,副总经理
恒瑞医药,600276,蒋素梅,女,60,大学学历,247.3万,副总经理
恒瑞医药,600276,王洪森,男,53,大学学历,214.6万,副总经理
恒瑞医药,600276,廖成,男,48,博士,260.1万,副总经理
恒瑞医药,600276,王泉人,男,37,博士,204.8万,副总经理
恒瑞医药,600276,贺峰,男,56,博士,234.5万,副总经理
恒瑞医药,600276,江宁军,男,63,博士,--,"副总经理,董事"
恒瑞医药,600276,张燕,女,43,硕士,81.31万,副总经理
恒瑞医药,600276,郭丛照,女,51,硕士,0.000,董事
恒瑞医药,600276,刘笑含,女,38,硕士,65.04万,董事会秘书
恒瑞医药,600276,孙金云,男,51,博士,--,独立董事
恒瑞医药,600276,曾庆生,男,49,博士,--,独立董事
恒瑞医药,600276,董家鸿,男,63,博士,10.00万,独立董事
恒瑞医药,600276,袁开红,男,58,本科,189.2万,"监事会主席,监事"
恒瑞医药,600276,熊国强,男,48,--,0.000,监事
恒瑞医药,600276,徐煜,女,31,硕士,32.51万,职工代表监事
恒瑞医药,600276,刘健俊,男,46,博士,194.3万,财务总监
华东医药,000963,吕梁,男,49,硕士,240.0万,"董事长,总经理,法定代表人,非独立董事"
华东医药,000963,吴晖,男,54,硕士,140.0万,副总经理
华东医药,000963,朱励,女,48,硕士,140.0万,副总经理
华东医药,000963,张建飞,男,48,本科,81.67万,副总经理
华东医药,000963,亢伟,女,55,硕士,3.000万,非独立董事
华东医药,000963,王旸,男,48,博士,--,董事
华东医药,000963,朱亮,男,46,本科,65.00万,非独立董事
华东医药,000963,朱飞鹏,男,57,博士,1.750万,非独立董事
华东医药,000963,叶波,男,35,硕士,1.750万,非独立董事
华东医药,000963,陈波,男,51,硕士,130.0万,董事会秘书
华东医药,000963,王如伟,男,56,博士,5.830万,独立董事
华东医药,000963,黄简,女,55,硕士,--,独立董事
华东医药,000963,高向东,女,60,博士,5.830万,独立董事
华东医药,000963,白新华,女,57,硕士,3.000万,"监事会主席,非职工代表监事"
华东医药,000963,周砚武,男,54,硕士,1.750万,非职工代表监事
华东医药,000963,秦云,女,53,本科,3.000万,非职工代表监事
华东医药,000963,董吉琴,女,39,硕士,1.750万,非职工代表监事
华东医药,000963,徐志锋,男,48,本科,65.00万,职工代表监事
华东医药,000963,朱寅华,女,49,本科,9.940万,职工代表监事
华东医药,000963,邱仁波,男,41,硕士,130.0万,财务负责人
博瑞医药,688166,袁建栋,男,53,博士,187.4万,"董事长,总经理,法定代表人,非独立董事"
博瑞医药,688166,李凯,男,47,本科,101.4万,副总经理
博瑞医药,688166,SIMON DAZHONG LU(吕大忠),男,55,博士,--,非独立董事
博瑞医药,688166,苏蕾,女,35,硕士,--,非独立董事
博瑞医药,688166,张丽,女,41,本科,62.66万,非独立董事
博瑞医药,688166,黄仰青,男,42,博士,85.40万,非独立董事
博瑞医药,688166,杭帆,男,37,本科,81.46万,非独立董事
博瑞医药,688166,丁楠,女,32,本科,41.76万,董事会秘书
博瑞医药,688166,阎政,男,71,本科,10.00万,独立董事
博瑞医药,688166,徐容,男,48,硕士,10.00万,独立董事
博瑞医药,688166,杜晓青,男,53,本科,10.00万,独立董事
博瑞医药,688166,何幸,男,40,硕士,--,"监事会主席,非职工监事"
博瑞医药,688166,沈莹娴,女,37,硕士,--,非职工监事
博瑞医药,688166,查玮,女,53,本科,25.37万,非职工监事
博瑞医药,688166,何靖芙,女,38,本科,41.16万,职工监事
博瑞医药,688166,张紫君,女,26,本科,13.02万,职工监事
博瑞医药,688166,邹元来,男,52,本科,46.05万,财务总监
华特达因,000915,朱效平,男,57,博士,--,"董事长,法定代表人,董事"
华特达因,000915,杨杰,女,62,硕士,471.5万,"总经理,董事"
华特达因,000915,方宁,男,51,硕士,78.24万,副总经理
华特达因,000915,张大钰,男,53,硕士,79.36万,"副总经理,董事"
华特达因,000915,沈宝杰,男,53,硕士,--,董事
华特达因,000915,程树仓,男,54,硕士,--,董事
华特达因,000915,范智胜,男,54,本科,77.14万,董事会秘书
华特达因,000915,吕玉芹,女,62,本科,8.000万,独立董事
华特达因,000915,张志元,男,60,博士,8.000万,独立董事
华特达因,000915,杜宁,女,52,博士,5.670万,独立董事
华特达因,000915,郑波,男,60,博士,--,"监事会主席,股东代表监事"
华特达因,000915,任尚军,男,44,本科,--,股东代表监事
华特达因,000915,刘立军,男,50,硕士,--,股东代表监事
华特达因,000915,田洪印,男,54,本科,31.83万,职工代表监事
华特达因,000915,李少东,男,50,大专,2.400万,职工代表监事
华特达因,000915,王伟,女,54,本科,58.69万,财务总监
泽璟制药-U,688266,ZELIN SHENG(盛泽林),男,63,博士,228.8万,"董事长,总经理,法定代表人,非独立董事"
泽璟制药-U,688266,高青平,女,46,硕士,119.0万,"副总经理,董事会秘书"
泽璟制药-U,688266,黄刚,男,52,硕士,91.81万,"副总经理,财务负责人"
泽璟制药-U,688266,吕彬华,男,44,博士,179.0万,"副总经理,非独立董事"
泽璟制药-U,688266,JISHENG WU(吴济生),男,58,硕士,205.0万,"副总经理,非独立董事"
泽璟制药-U,688266,陆惠萍,女,56,硕士,138.7万,"常务副总经理,非独立董事"
泽璟制药-U,688266,JUNLI ZHANG(张均利),男,61,博士,267.0万,副总经理
泽璟制药-U,688266,李德毓,女,43,博士,0.000,非独立董事
泽璟制药-U,688266,张梦恒,男,47,硕士,0.000,非独立董事
泽璟制药-U,688266,黄反之,男,56,硕士,8.160万,独立董事
泽璟制药-U,688266,张炳辉,男,60,本科,12.75万,独立董事
泽璟制药-U,688266,RU YIHE(何如意),男,62,博士,25.49万,独立董事
泽璟制药-U,688266,易必慧,男,44,本科,33.88万,"监事会主席,职工代表监事"
泽璟制药-U,688266,张军超,男,42,硕士,40.95万,非职工代表监事
泽璟制药-U,688266,任元琪,男,33,本科,17.35万,非职工代表监事
济民医疗,603222,李丽莎,女,45,硕士,75.46万,"董事长,法定代表人,非独立董事"
济民医疗,603222,田云飞,男,43,硕士,76.20万,"总经理,非独立董事"
济民医疗,603222,别涌,男,48,硕士,87.05万,副总经理
济民医疗,603222,邱高鹏,男,51,硕士,54.53万,"常务副总经理,非独立董事"
济民医疗,603222,陈坤,男,41,硕士,52.37万,"副总经理,非独立董事,董事会秘书"
济民医疗,603222,何清红,女,43,硕士,66.20万,副总裁
济民医疗,603222,王开田,男,66,博士,7.000万,独立董事
济民医疗,603222,李永泉,男,61,博士,7.000万,独立董事
济民医疗,603222,金立志,男,68,大学学历,7.000万,独立董事
济民医疗,603222,上官福旦,男,45,专科学历,1.590万,"监事长,监事"
济民医疗,603222,王连兰,女,46,本科,1.720万,"监事,副总工程师"
济民医疗,603222,冯雅琳,女,44,本科,18.75万,职工代表监事
济民医疗,603222,杨国伟,男,41,本科,3.060万,财务总监
峆一药业,430478,董来山,男,50,硕士,--,"董事长,总经理,法定代表人,董事"
峆一药业,430478,董来高,男,55,大专,--,"副总经理,董事,董事会秘书"
峆一药业,430478,胡兵,男,52,中专,--,"副总经理,董事"
峆一药业,430478,易星,男,55,高中,--,"副总经理,董事"
峆一药业,430478,邱小新,女,48,硕士,--,副总经理
峆一药业,430478,董来庚,男,55,高中,--,董事
峆一药业,430478,赵军,男,54,博士,--,董事
峆一药业,430478,潘平,男,61,本科,--,独立董事
峆一药业,430478,冯乙巳,男,58,博士,--,独立董事
峆一药业,430478,杨模荣,男,57,博士,--,独立董事
峆一药业,430478,方文俊,男,52,中专,--,"监事会主席,监事"
峆一药业,430478,刘丽丽,女,41,本科,--,监事
峆一药业,430478,刘忠平,男,50,本科,--,职工代表监事
峆一药业,430478,陈康,男,33,本科,--,财务负责人
吉贝尔,688566,耿仲毅,男,60,本科,142.3万,"董事长,总经理,法定代表人,非独立董事"
吉贝尔,688566,俞新君,男,62,本科,76.80万,"副董事长,副总经理,非独立董事"
吉贝尔,688566,吴莹,女,71,本科,68.16万,"副总经理,总工程师"
吉贝尔,688566,胡涛,男,46,中专,0.000,非独立董事
吉贝尔,688566,张春,男,56,本科,69.21万,非独立董事
吉贝尔,688566,翟建中,男,51,本科,69.21万,董事会秘书
吉贝尔,688566,杨国祥,男,71,大学学历,10.00万,独立董事
吉贝尔,688566,谢竹云,男,48,博士,10.00万,独立董事
吉贝尔,688566,何娣,女,55,硕士,10.00万,独立董事
吉贝尔,688566,王正,男,46,本科,17.42万,"监事会主席,股东代表监事"
