公司代码,公司名称,2022年ROE,2021年ROE,2020年ROE,2019年ROE,2018年ROE,2022年资产负债率,2021年资产负债率,2020年资产负债率,2019年资产负债率,2018年资产负债率
600882,妙可蓝多,3.07,4.97,4.55,1.54,0.89,34.43,26.74,40.73,48.19,54.71
2956,西麦食品,7.91,7.79,9.77,16.90,30.13,26.69,23.92,20.76,18.98,30.22
300783,三只松鼠,5.67,19.49,15.16,16.37,31.66,48.34,55.13,52.37,60.85,64.10
603777,来伊份,5.84,1.84,-3.80,0.56,0.54,50.89,49.90,38.50,38.48,34.77
605179,一鸣食品,-11.30,1.63,18.22,30.29,34.94,59.18,56.23,46.58,52.45,52.01
2650,加加食品,-3.16,-3.08,7.32,7.20,5.45,17.07,12.32,18.27,14.25,17.05
848,承德露露,23.70,25.83,20.90,24.55,21.99,26.73,31.82,27.64,34.60,31.18
2216,三全食品,22.62,21.12,29.39,10.20,4.99,48.47,50.89,50.09,57.82,55.26
600429,三元股份,0.69,5.35,1.90,2.69,3.69,56.50,55.94,55.23,54.93,55.75
2732,燕塘乳业,8.19,14.18,10.27,13.05,4.57,32.79,26.74,22.68,22.51,30.55
2481,双塔食品,-12.10,9.48,12.09,6.98,3.55,39.53,26.31,26.70,35.46,32.21
529,广弘控股,33.78,15.26,16.45,20.71,11.67,46.80,48.74,44.45,30.18,25.62
2495,佳隆股份,-4.60,2.21,0.82,2.38,3.06,5.21,6.43,6.11,6.24,9.82
605016,百龙创园,11.84,10.30,14.84,15.06,13.92,8.63,6.16,17.33,20.85,17.73
833429,康比特,9.78,8.66,3.29,9.32,17.51,25.89,32.00,32.34,27.35,24.80
603182,嘉华股份,18.42,18.47,21.06,26.62,24.74,18.40,41.90,38.32,41.22,55.95
603886,元祖股份,16.97,21.67,19.77,17.17,19.15,48.38,48.05,41.27,37.63,36.53
605339,南侨食品,4.98,13.80,17.14,17.82,19.40,21.84,22.31,32.72,30.63,34.11
2582,好想你,-4.38,1.27,48.42,5.76,3.91,19.89,19.40,11.74,47.03,39.62
2695,煌上煌,1.32,5.65,12.48,11.12,9.33,20.52,21.33,18.34,20.59,22.56
2570,贝因美,-10.45,4.78,-20.92,-5.90,2.19,58.96,54.86,62.67,60.48,63.38
605388,均瑶健康,3.99,7.33,16.82,36.06,41.14,19.40,15.23,11.07,29.92,32.81
2661,克明食品,6.01,2.62,12.25,9.10,8.52,40.63,33.33,33.38,45.46,43.40
2852,道道全,-19.09,-10.77,-4.07,6.34,10.92,58.17,40.58,45.47,24.95,21.60
2726,龙大美食,2.42,-20.90,32.55,10.83,8.85,56.08,58.82,56.79,59.43,40.09
1215,千味央厨,10.13,12.69,15.00,20.10,19.33,33.15,28.91,39.06,51.59,46.77
300973,立高食品,7.04,19.05,41.98,47.22,20.09,25.46,21.60,33.11,40.81,50.57
603027,千禾味业,15.54,11.20,11.69,13.92,20.79,25.81,13.50,13.16,22.53,32.35
3030,祖名股份,3.75,5.56,18.68,19.47,16.09,40.74,39.99,37.18,50.72,58.40
605338,巴比食品,11.19,17.72,17.75,23.69,27.18,22.66,24.41,17.90,26.03,29.64
600597,光明乳业,4.57,9.35,10.13,9.03,6.28,56.86,55.86,55.71,57.95,62.17
600872,中炬高新,-17.41,17.52,20.96,19.42,18.07,44.33,28.17,25.04,28.69,34.02
300791,仙乐健康,8.12,9.77,12.48,12.85,29.81,35.46,33.38,17.62,17.55,49.21
600419,天润乳业,8.57,9.02,9.99,14.52,13.03,35.46,33.70,33.46,41.82,40.27
2557,洽洽食品,19.57,20.19,20.12,17.19,13.61,38.33,40.58,39.71,31.46,34.49
600305,恒顺醋业,6.34,5.13,13.52,14.88,15.82,24.99,29.98,22.97,21.25,25.26
605198,安德利,8.20,7.19,7.63,9.17,7.95,9.21,9.68,5.24,6.24,7.41
2507,涪陵榨菜,12.09,12.62,24.74,22.65,30.08,9.84,7.51,14.06,14.60,17.03
600866,星湖科技,13.46,7.20,9.33,11.08,4.52,56.69,56.37,31.09,28.16,33.83
603866,桃李面包,13.10,16.01,21.98,19.56,19.71,24.10,17.98,14.99,27.82,12.51
603288,海天味业,25.52,31.63,36.13,33.69,32.66,21.07,29.51,31.72,32.95,31.06
605499,东鹏饮料,31.65,36.48,45.82,43.14,22.05,57.33,45.60,56.13,51.05,48.43
605567,春雪食品,7.09,8.62,34.24,30.91,31.18,41.92,31.65,54.95,66.27,72.18
2946,新乳业,14.05,11.80,11.97,12.82,18.00,71.91,69.81,66.65,61.66,63.64
603317,天味食品,8.76,4.92,17.46,18.98,25.89,16.53,10.08,13.06,14.02,17.92
600300,维维股份,3.14,7.48,16.09,2.96,2.32,37.46,40.16,55.09,69.70,67.27
600887,伊利股份,19.23,25.59,25.18,26.38,24.33,58.66,52.15,57.09,56.54,41.11
2597,金禾实业,27.03,22.09,15.50,19.42,25.15,31.96,33.98,29.31,27.11,31.17
911,南宁糖业,-170.20,-21.89,47.19,59.02,-189.44,96.33,91.17,95.64,97.26,99.43
972,中基健康,31.71,-87.10,-86.05,1.13,-64.39,87.83,89.00,68.89,39.49,63.90
603079,圣达生物,2.38,5.79,17.13,5.66,5.72,18.84,24.24,22.09,40.51,33.87
603170,宝立食品,24.44,32.83,32.32,27.64,42.03,25.27,39.28,41.34,45.22,51.66
603043,广州酒家,16.70,20.49,19.72,18.65,21.16,39.58,33.91,33.32,24.57,20.31
300765,新诺威,20.11,13.41,12.83,13.77,25.47,13.96,11.86,9.07,15.32,28.15
2286,保龄宝,6.98,11.95,3.14,2.27,2.82,33.32,40.14,38.86,37.79,40.22
300999,金龙鱼,3.43,4.85,8.63,8.72,9.07,59.08,56.04,51.17,59.88,62.97
300175,朗源股份,-4.90,-8.33,-25.12,5.46,6.82,24.84,29.50,29.79,32.24,27.41
600186,莲花健康,3.22,5.45,21.34,--,--,51.49,48.31,89.96,96.58,128.97
603102,百合股份,10.47,23.10,24.25,16.66,19.18,14.44,22.08,20.30,25.36,28.11
895,双汇发展,25.43,21.80,32.93,37.37,38.84,39.08,31.87,30.46,40.23,40.06
600298,安琪酵母,16.47,20.54,25.15,19.37,21.06,43.24,46.44,42.74,46.53,49.30
600073,上海梅林,10.88,6.92,9.69,8.31,7.41,53.60,55.24,51.17,52.48,47.31
300146,汤臣倍健,13.46,19.34,23.97,-6.50,19.00,18.28,18.74,27.99,28.80,29.65
600737,中粮糖业,7.23,5.40,6.36,7.50,6.90,45.78,45.66,47.65,49.18,51.51
688089,嘉必优,4.61,9.53,10.18,21.27,19.58,11.53,4.60,4.29,3.72,9.46
603020,爱普股份,3.59,8.50,7.97,5.71,5.67,14.31,13.57,13.62,13.23,9.91
300741,华宝股份,9.70,13.30,15.64,15.50,14.57,13.97,6.58,5.95,5.90,5.46
301206,三元生物,3.80,68.85,52.06,55.52,46.38,5.12,36.03,34.74,33.53,35.80
2991,甘源食品,10.73,10.68,19.53,38.89,31.85,24.84,20.71,19.28,41.49,40.53
600962,国投中鲁,12.64,-2.80,-15.21,0.43,0.64,60.46,65.23,65.75,57.96,49.89
600873,梅花生物,35.95,26.77,10.99,10.68,11.06,44.81,49.13,50.95,52.29,50.84
200019,深粮B,8.96,9.13,8.99,8.46,7.70,35.06,38.76,34.40,31.76,32.95
603345,安井食品,10.72,14.66,19.52,15.44,14.62,26.52,41.36,48.09,51.73,55.12
600189,泉阳泉,3.53,6.84,5.74,-68.77,1.46,62.92,65.52,66.49,70.35,53.76
605077,华康股份,12.59,11.13,38.23,48.55,56.74,31.99,18.96,34.28,40.66,57.93
